,batch_size,momentum,lr,width,weight_decay,grawa,mgrawa,avg_train_loss,avg_train_error,avg_test_loss,avg_test_error
54,512,0.1,0.1,4,0.01,134456.078125,562635.0,0.020716629476547243,0.0,0.5438376733779907,16.479999999999993
55,512,0.1,0.1,6,0.01,106108.5,504376.65625,0.019225115938186644,0.0,0.5369426549911499,16.769999999999996
56,128,0.9,0.1,4,0.01,266219.96875,826975.375,0.017238482246398925,0.0,0.49171183547973635,13.949999999999996
57,32,0.1,0.05,6,0.01,163397.546875,555190.375,0.017961596550941466,0.0,0.37125406551361084,10.68
58,32,0.1,0.075,8,0.01,112946.953125,423220.875,0.016138567018508913,0.0,0.33580754885673525,10.07
59,32,0.1,0.05,4,0.01,145904.171875,508834.09375,0.01758236536979675,0.0,0.3889071804046631,11.509999999999998
60,32,0.1,0.075,6,0,27.129011154174805,120.57884979248047,1.0733070373535157e-05,0.0,1.0455876209259034,20.560000000000002
61,128,0.1,0.05,8,0.01,98699.5390625,444284.5625,0.01730077061653137,0.0,0.4818289638519287,15.110000000000001
62,512,0.1,0.1,6,0.0001,934.637939453125,4545.75146484375,0.0006030539321899414,0.0,1.4002962295532226,29.259999999999998
63,32,0.5,0.1,8,0,6.799422740936279,32.54582214355469,3.896465301513672e-06,0.0,0.9797217551231384,17.259999999999998
64,128,0.5,0.075,8,0.01,139827.59375,565630.8125,0.017115287408828735,0.0,0.36556934700012206,10.58
65,32,0.5,0.05,6,0,217.10012817382812,1049.490234375,1.581308364868164e-05,0.0,0.9969900098800659,19.110000000000007
66,128,0.1,0.075,6,0,145.3214569091797,698.296142578125,7.791439056396485e-05,0.0,1.3466188631057738,26.770000000000003
67,32,0.1,0.1,6,0.0001,114.59033203125,535.505859375,5.9182262420654295e-05,0.0,0.808789395904541,18.899999999999995
68,32,0.5,0.075,6,0,9.806290626525879,46.42936325073242,4.112491607666016e-06,0.0,1.0304465467453003,18.55
69,128,0.5,0.05,4,0.0001,287.4858093261719,1401.6993408203125,0.00017728069305419922,0.0,1.2174063438415528,26.229999999999997
70,512,0.5,0.05,4,0.01,139974.484375,595699.25,0.020176441535949708,0.0,0.527291533088684,16.01
71,512,0.5,0.05,6,0.0001,875.7255249023438,4487.59130859375,0.0005838890743255615,0.0,1.4275858924865723,29.300000000000004
72,128,0.9,0.075,4,0,7.8493733406066895,41.28477096557617,6.575908660888672e-06,0.0,1.0271642475128173,17.689999999999994
73,32,0.9,0.075,4,0.01,305996.65625,1061609.375,0.022078252754211426,0.021999999999999797,0.5093434223175048,15.42
74,128,0.5,0.1,6,0,52.84818649291992,246.4539794921875,3.13519287109375e-05,0.0,1.110658808708191,22.019999999999996
75,32,0.5,0.05,6,0.01,126108.5703125,430431.78125,0.016969858508110048,0.0,0.35003974609375,10.170000000000002
76,512,0.1,0.075,6,0.0001,1162.0401611328125,5820.20849609375,0.0008287138938903809,0.0,1.5517117317199707,32.69
77,128,0.9,0.05,8,0.0001,230.1326904296875,1094.635498046875,0.00013544002532958984,0.0,0.6899689877510071,17.01
78,512,0.9,0.1,6,0,41.65917205810547,200.64320373535156,3.629335403442383e-05,0.0,1.0148831899642945,19.259999999999998
79,128,0.5,0.075,6,0.01,205839.765625,797923.0625,0.017069511671066285,0.0,0.3911311978816986,11.539999999999996
80,128,0.5,0.075,4,0.01,177712.046875,688249.25,0.016497786922454835,0.0,0.40678647060394285,11.809999999999999
81,512,0.1,0.075,4,0.0001,842.80126953125,4075.27490234375,0.0006108215713500977,0.0,1.636486026763916,32.97
82,128,0.1,0.05,4,0.0001,267.9861145019531,1248.9832763671875,0.0001543599319458008,0.0,1.4736268934249879,29.590000000000003
83,512,0.1,0.1,4,0,507.51788330078125,2463.270263671875,0.0003284781646728516,0.0,1.6463429298400878,31.540000000000003
84,128,0.5,0.05,6,0.01,142925.65625,557185.1875,0.017636458082199095,0.0,0.399826212310791,12.039999999999996
85,32,0.1,0.075,4,0,9.022302627563477,45.21186828613281,5.414028167724609e-06,0.0,1.1469492986679077,21.509999999999994
86,32,0.9,0.05,4,0,1.0666522979736328,5.570684432983398,1.1705780029296876e-06,0.0,1.090768519973755,16.979999999999997
87,512,0.5,0.075,4,0.0001,554.95703125,2751.517822265625,0.00034929487228393556,0.0,1.454608521938324,30.220000000000002
88,32,0.5,0.075,4,0.01,147862.296875,497695.78125,0.01555081663131714,0.0,0.42187462434768674,12.670000000000003
89,128,0.5,0.075,8,0.0001,211.9893341064453,999.472412109375,0.00010788675308227539,0.0,0.9632144521713257,21.840000000000003
90,128,0.1,0.05,8,0,248.36898803710938,1198.833984375,0.00013501712799072265,0.0,1.362096549987793,27.51
